"userName","movieId","userRating","ratingTimestamp"
"Omar Huffman","2294","2.0","1260759108"
"Omar Huffman","2455","2.5","1260759113"
"Omar Huffman","2968","1.0","1260759200"
"Omar Huffman","3671","3.0","1260759117"
"Omar Huffman","1953","4.0","1260759191"
"Omar Huffman","2105","4.0","1260759139"
"Omar Huffman","2150","3.0","1260759194"
"Omar Huffman","2193","2.0","1260759198"
"Omar Huffman","1061","3.0","1260759182"
"Omar Huffman","1129","2.0","1260759185"
"Omar Huffman","31","2.5","1260759144"
"Omar Huffman","1029","3.0","1260759179"
"Omar Huffman","1287","2.0","1260759187"
"Omar Huffman","1293","2.0","1260759148"
"Omar Huffman","1172","4.0","1260759205"
"Omar Huffman","1263","2.0","1260759151"
"Omar Huffman","1371","2.5","1260759135"
"Omar Huffman","1405","1.0","1260759203"
"Omar Huffman","1339","3.5","1260759125"
"Omar Huffman","1343","2.0","1260759131"
"Mr. Jason Love","248","3.0","835355896"
"Mr. Jason Love","235","3.0","835355664"
"Mr. Jason Love","261","4.0","835355681"
"Mr. Jason Love","253","4.0","835355511"
"Mr. Jason Love","222","5.0","835355840"
"Mr. Jason Love","208","3.0","835355511"
"Mr. Jason Love","225","3.0","835355552"
"Mr. Jason Love","223","1.0","835355749"
"Mr. Jason Love","168","3.0","835355710"
"Mr. Jason Love","165","3.0","835355441"
"Mr. Jason Love","186","3.0","835355664"
"Mr. Jason Love","185","3.0","835355511"
"Mr. Jason Love","150","5.0","835355395"
"Mr. Jason Love","144","3.0","835356016"
"Mr. Jason Love","161","3.0","835355493"
"Mr. Jason Love","153","4.0","835355441"
"Mr. Jason Love","50","4.0","835355586"
"Mr. Jason Love","52","3.0","835356031"
"Mr. Jason Love","62","3.0","835355749"
"Mr. Jason Love","110","4.0","835355532"
"Mr. Jason Love","10","4.0","835355493"
"Mr. Jason Love","17","5.0","835355681"
"Mr. Jason Love","39","5.0","835355604"
"Mr. Jason Love","47","4.0","835355552"
"Mr. Jason Love","500","4.0","835355731"
"Mr. Jason Love","497","3.0","835355880"
"Mr. Jason Love","551","5.0","835355767"
"Mr. Jason Love","550","3.0","835356109"
"Mr. Jason Love","539","3.0","835355767"
"Mr. Jason Love","537","4.0","835356199"
"Mr. Jason Love","527","4.0","835355731"
"Mr. Jason Love","515","4.0","835355817"
"Mr. Jason Love","509","4.0","835355719"
"Mr. Jason Love","508","4.0","835355860"
"Mr. Jason Love","592","5.0","835355395"
"Mr. Jason Love","590","5.0","835355395"
"Mr. Jason Love","589","5.0","835355697"
"Mr. Jason Love","588","3.0","835355441"
"Mr. Jason Love","587","3.0","835355779"
"Mr. Jason Love","586","3.0","835355790"
"Mr. Jason Love","585","5.0","835355817"
"Mr. Jason Love","552","3.0","835355860"
"Mr. Jason Love","661","4.0","835356141"
"Mr. Jason Love","720","4.0","835355978"
"Mr. Jason Love","593","3.0","835355511"
"Mr. Jason Love","616","3.0","835355932"
"Mr. Jason Love","266","5.0","835355586"
"Mr. Jason Love","265","5.0","835355697"
"Mr. Jason Love","273","4.0","835355779"
"Mr. Jason Love","272","3.0","835355767"
"Mr. Jason Love","296","4.0","835355395"
"Mr. Jason Love","292","3.0","835355492"
"Mr. Jason Love","314","4.0","835356044"
"Mr. Jason Love","300","3.0","835355532"
"Mr. Jason Love","319","1.0","835355918"
"Mr. Jason Love","317","2.0","835355551"
"Mr. Jason Love","349","4.0","835355441"
"Mr. Jason Love","339","3.0","835355492"
"Mr. Jason Love","356","3.0","835355628"
"Mr. Jason Love","350","4.0","835355697"
"Mr. Jason Love","364","3.0","835355604"
"Mr. Jason Love","357","3.0","835355749"
"Mr. Jason Love","367","3.0","835355619"
"Mr. Jason Love","370","2.0","835355932"
"Mr. Jason Love","371","3.0","835355968"
"Mr. Jason Love","372","3.0","835356094"
"Mr. Jason Love","377","3.0","835355710"
"Mr. Jason Love","382","3.0","835356165"
"Mr. Jason Love","405","2.0","835356246"
"Mr. Jason Love","410","3.0","835355532"
"Mr. Jason Love","454","4.0","835355604"
"Mr. Jason Love","457","3.0","835355511"
"Mr. Jason Love","468","4.0","835355790"
"Mr. Jason Love","474","2.0","835355828"
"Mr. Jason Love","480","4.0","835355643"
"Mr. Jason Love","485","3.0","835355918"
"Angela Thompson","44191","3.5","1298932740"
"Angela Thompson","1197","5.0","1298932770"
"Angela Thompson","866","3.0","1298861687"
"Angela Thompson","1235","4.0","1298861628"
"Angela Thompson","1210","3.0","1298921795"
"Angela Thompson","595","2.0","1298923260"
"Angela Thompson","593","3.0","1298921840"
"Angela Thompson","778","4.0","1298863157"
"Angela Thompson","736","3.5","1298932787"
"Angela Thompson","2028","4.0","1298921862"
"Angela Thompson","1884","4.0","1298863143"
"Angela Thompson","2513","3.0","1298861789"
"Angela Thompson","2318","4.0","1298861753"
"Angela Thompson","1378","4.0","1298861658"
"Angela Thompson","1271","3.0","1298861605"
"Angela Thompson","1721","4.5","1298923236"
"Angela Thompson","1580","3.5","1298922089"
"Angela Thompson","2841","4.0","1298861733"
"Angela Thompson","2858","4.0","1298921825"
"Angela Thompson","2959","5.0","1298862874"
"Angela Thompson","3243","3.0","1298861968"
"Angela Thompson","2694","3.0","1298862710"
"Angela Thompson","2702","3.5","1298861796"
"Angela Thompson","2716","3.0","1298924017"
"Angela Thompson","2762","3.5","1298922057"
"Angela Thompson","6377","3.0","1298922080"
"Angela Thompson","7153","2.5","1298921787"
"Angela Thompson","7361","3.0","1298922065"
"Angela Thompson","8622","3.5","1298861650"
"Angela Thompson","3510","4.0","1298861633"
"Angela Thompson","3949","5.0","1298863174"
"Angela Thompson","5349","3.0","1298923266"
"Angela Thompson","5669","3.5","1298862672"
"Angela Thompson","247","3.5","1298861637"
"Angela Thompson","267","3.0","1298861761"
"Angela Thompson","60","3.0","1298861675"
"Angela Thompson","110","4.0","1298922049"
"Angela Thompson","588","3.0","1298922100"
"Angela Thompson","592","3.0","1298923247"
"Angela Thompson","377","2.5","1298923242"
"Angela Thompson","527","3.0","1298862528"
"Angela Thompson","355","2.5","1298861589"
"Angela Thompson","356","5.0","1298862167"
"Angela Thompson","296","4.5","1298862418"
"Angela Thompson","318","5.0","1298862121"
"Angela Thompson","58559","3.0","1298922071"
"Angela Thompson","50068","4.5","1298862467"
"Angela Thompson","84236","4.0","1298922130"
"Angela Thompson","27369","3.5","1298862555"
"Angela Thompson","8636","3.0","1298932766"
"Angela Thompson","48783","4.5","1298862361"
"Jessica Sherman","1372","3.0","949920004"
"Jessica Sherman","1371","4.0","949810302"
"Jessica Sherman","1356","4.0","949810582"
"Jessica Sherman","1344","5.0","949919247"
"Jessica Sherman","1334","5.0","949982274"
"Jessica Sherman","1332","4.0","949896275"
"Jessica Sherman","1307","4.0","949811602"
"Jessica Sherman","1298","4.0","949918927"
"Jessica Sherman","1291","5.0","949918743"
"Jessica Sherman","1288","5.0","949811490"
"Jessica Sherman","1285","4.0","949811559"
"Jessica Sherman","1282","5.0","949949396"
"Jessica Sherman","1278","5.0","949919372"
"Jessica Sherman","1270","5.0","949811523"
"Jessica Sherman","1265","5.0","949919591"
"Jessica Sherman","1259","4.0","949811559"
"Jessica Sherman","1257","5.0","949811602"
"Jessica Sherman","1258","5.0","949918743"
"Jessica Sherman","1240","5.0","949896244"
"Jessica Sherman","1243","5.0","949919519"
"Jessica Sherman","1225","5.0","949779173"
"Jessica Sherman","1230","5.0","949919372"
"Jessica Sherman","1220","5.0","949811523"
"Jessica Sherman","1222","5.0","949918693"
"Jessica Sherman","1214","5.0","949810261"
"Jessica Sherman","1219","5.0","949779173"
"Jessica Sherman","1210","5.0","949778714"
"Jessica Sherman","1213","5.0","949895708"
"Jessica Sherman","1206","5.0","949896159"
